,SHOW,SEASON,CONTESTANT,variable,value,WINNER,R1,R
0,Bachelorette,12,12_JORDAN_R,ELIMINATION-1,R1,1,1,0
1,Bachelorette,12,12_ROBBY_H,ELIMINATION-1,,0,0,0
2,Bachelorette,12,12_CHASE_M,ELIMINATION-1,,0,0,0
3,Bachelorette,12,12_LUKE_P,ELIMINATION-1,,0,0,0
4,Bachelorette,12,12_JAMES_T,ELIMINATION-1,,0,0,0
5,Bachelorette,12,12_ALEX_W,ELIMINATION-1,,0,0,0
6,Bachelorette,12,12_DEREK_P,ELIMINATION-1,,0,0,0
7,Bachelorette,12,12_WELLS_A,ELIMINATION-1,,0,0,0
8,Bachelorette,12,12_VINCENT_V,ELIMINATION-1,,0,0,0
9,Bachelorette,12,12_GRANT_K,ELIMINATION-1,,0,0,0
10,Bachelorette,12,12_EVAN_B,ELIMINATION-1,,0,0,0
11,Bachelorette,12,12_JAMES_F,ELIMINATION-1,,0,0,0
12,Bachelorette,12,12_DANIEL_M,ELIMINATION-1,,0,0,0
13,Bachelorette,12,12_CHAD_J,ELIMINATION-1,,0,0,0
14,Bachelorette,12,12_NICK_B,ELIMINATION-1,,0,0,0
15,Bachelorette,12,12_CHRISTIAN_B,ELIMINATION-1,,0,0,0
16,Bachelorette,12,12_ALI_Z,ELIMINATION-1,,0,0,0
17,Bachelorette,12,12_WILL_H,ELIMINATION-1,,0,0,0
18,Bachelorette,12,12_JAMES_S,ELIMINATION-1,,0,0,0
19,Bachelorette,12,12_BRANDON_H,ELIMINATION-1,,0,0,0
20,Bachelorette,12,12_SAL_D,ELIMINATION-1,E,0,0,0
21,Bachelorette,12,12_PETER_M,ELIMINATION-1,E,0,0,0
22,Bachelorette,12,12_NICK_S,ELIMINATION-1,E,0,0,0
23,Bachelorette,12,12_JONATHAN_H,ELIMINATION-1,E,0,0,0
24,Bachelorette,12,12_JAKE_P,ELIMINATION-1,E,0,0,0
25,Bachelorette,12,12_COLEY_K,ELIMINATION-1,E,0,0,0
26,Bachelorette,11,11_SHAWN_B,ELIMINATION-1,R1,1,1,0
27,Bachelorette,11,11_NICK_V,ELIMINATION-1,,0,0,0
28,Bachelorette,11,11_BEN_H,ELIMINATION-1,,0,0,0
29,Bachelorette,11,11_JARED_H,ELIMINATION-1,,0,0,0
30,Bachelorette,11,11_JOE_B,ELIMINATION-1,,0,0,0
31,Bachelorette,11,11_CHRIS_S,ELIMINATION-1,,0,0,0
32,Bachelorette,11,11_BEN_Z,ELIMINATION-1,,0,0,0
33,Bachelorette,11,11_TANNER_T,ELIMINATION-1,,0,0,0
34,Bachelorette,11,11_JJ_L,ELIMINATION-1,,0,0,0
35,Bachelorette,11,11_JOSHUA_A,ELIMINATION-1,,0,0,0
36,Bachelorette,11,11_JUSTIN_R,ELIMINATION-1,,0,0,0
37,Bachelorette,11,11_IAN_T,ELIMINATION-1,,0,0,0
38,Bachelorette,11,11_COREY_S,ELIMINATION-1,,0,0,0
39,Bachelorette,11,11_JONATHAN_H,ELIMINATION-1,,0,0,0
40,Bachelorette,11,11_RYAN_B,ELIMINATION-1,,0,0,0
41,Bachelorette,11,11_CLINT_A,ELIMINATION-1,,0,0,0
42,Bachelorette,11,11_TONY_H,ELIMINATION-1,,0,0,0
43,Bachelorette,11,11_CORY_S,ELIMINATION-1,,0,0,0
44,Bachelorette,11,11_DANIEL_F,ELIMINATION-1,,0,0,0
45,Bachelorette,11,11_KUPAH_J,ELIMINATION-1,,0,0,0
46,Bachelorette,11,11_BRADLEY_C,ELIMINATION-1,E,0,0,0
47,Bachelorette,11,11_DAVID_X,ELIMINATION-1,E,0,0,0
48,Bachelorette,11,11_JOSH_S,ELIMINATION-1,E,0,0,0
49,Bachelorette,11,11_SHAWN_E,ELIMINATION-1,E,0,0,0
50,Bachelorette,11,11_BRADY_T,ELIMINATION-1,EQ,0,0,0
51,Bachelorette,11,11_RYAN_M,ELIMINATION-1,EF,0,0,0
52,Bachelorette,10,10_JOSH_M,ELIMINATION-1,,1,0,0
53,Bachelorette,10,10_NICK_V,ELIMINATION-1,R1,0,1,0
54,Bachelorette,10,10_CHRIS_S,ELIMINATION-1,,0,0,0
55,Bachelorette,10,10_MARCUS_G,ELIMINATION-1,,0,0,0
56,Bachelorette,10,10_BRIAN_O,ELIMINATION-1,,0,0,0
57,Bachelorette,10,10_DYLAN_P,ELIMINATION-1,,0,0,0
58,Bachelorette,10,10_JJ_O,ELIMINATION-1,,0,0,0
59,Bachelorette,10,10_CODY_S,ELIMINATION-1,,0,0,0
60,Bachelorette,10,10_ANDREW_P,ELIMINATION-1,,0,0,0
61,Bachelorette,10,10_MARQUEL_M,ELIMINATION-1,,0,0,0
62,Bachelorette,10,10_PATRICK_J,ELIMINATION-1,,0,0,0
63,Bachelorette,10,10_TASOS_H,ELIMINATION-1,,0,0,0
64,Bachelorette,10,10_ERIC_H,ELIMINATION-1,,0,0,0
65,Bachelorette,10,10_BRADLEY_W,ELIMINATION-1,,0,0,0
66,Bachelorette,10,10_BRETT_M,ELIMINATION-1,,0,0,0
67,Bachelorette,10,10_RON_W,ELIMINATION-1,,0,0,0
68,Bachelorette,10,10_CARL_K,ELIMINATION-1,,0,0,0
69,Bachelorette,10,10_CRAIG_M,ELIMINATION-1,,0,0,0
70,Bachelorette,10,10_NICK_S,ELIMINATION-1,,0,0,0
71,Bachelorette,10,10_EMIL_S,ELIMINATION-1,E,0,0,0
72,Bachelorette,10,10_JASON_L,ELIMINATION-1,E,0,0,0
73,Bachelorette,10,10_JOSH_B,ELIMINATION-1,E,0,0,0
74,Bachelorette,10,10_MIKE_C,ELIMINATION-1,E,0,0,0
75,Bachelorette,10,10_RUDIE_D,ELIMINATION-1,E,0,0,0
76,Bachelorette,10,10_STEVEN_W,ELIMINATION-1,E,0,0,0
77,Bachelorette,9,09_CHRIS_S,ELIMINATION-1,,1,0,0
78,Bachelorette,9,09_DREW_K,ELIMINATION-1,R1,0,1,0
79,Bachelorette,9,09_BROOKS_F,ELIMINATION-1,,0,0,0
80,Bachelorette,9,09_ZAK_W,ELIMINATION-1,R1,0,1,0
81,Bachelorette,9,09_MICHAEL_G,ELIMINATION-1,R1,0,1,0
82,Bachelorette,9,09_JAMES_C,ELIMINATION-1,,0,0,0
83,Bachelorette,9,09_JUAN_G,ELIMINATION-1,,0,0,0
84,Bachelorette,9,09_KASEY_S,ELIMINATION-1,,0,0,0
85,Bachelorette,9,09_MIKEY_T,ELIMINATION-1,,0,0,0
86,Bachelorette,9,09_BEN_S,ELIMINATION-1,R1,0,1,0
87,Bachelorette,9,09_BRYDEN_V,ELIMINATION-1,R1,0,1,0
88,Bachelorette,9,09_ZACK_K,ELIMINATION-1,,0,0,0
89,Bachelorette,9,09_BRAD_M,ELIMINATION-1,,0,0,0
90,Bachelorette,9,09_BRANDON_A,ELIMINATION-1,,0,0,0
91,Bachelorette,9,09_DAN_C,ELIMINATION-1,,0,0,0
92,Bachelorette,9,09_BRIAN_J,ELIMINATION-1,,0,0,0
93,Bachelorette,9,09_NICK_M,ELIMINATION-1,R1,0,1,0
94,Bachelorette,9,09_ROBERT_G,ELIMINATION-1,,0,0,0
95,Bachelorette,9,09_WILL_R,ELIMINATION-1,,0,0,0
96,Bachelorette,9,09_DIOGO_C,ELIMINATION-1,E,0,0,0
97,Bachelorette,9,09_LARRY_B,ELIMINATION-1,E,0,0,0
98,Bachelorette,9,09_MICAH_X,ELIMINATION-1,E,0,0,0
99,Bachelorette,9,09_MIKE_X,ELIMINATION-1,E,0,0,0
100,Bachelorette,9,09_NICK_R,ELIMINATION-1,E,0,0,0
101,Bachelorette,9,09_JONATHAN_V,ELIMINATION-1,EU,0,0,0
102,Bachelorette,8,08_JEF_H,ELIMINATION-1,,1,0,0
103,Bachelorette,8,08_ARIE_L,ELIMINATION-1,,0,0,0
104,Bachelorette,8,08_SEAN_L,ELIMINATION-1,,0,0,0
105,Bachelorette,8,08_CHRIS_B,ELIMINATION-1,,0,0,0
106,Bachelorette,8,08_JOHN_W,ELIMINATION-1,,0,0,0
107,Bachelorette,8,08_DOUG_C,ELIMINATION-1,R1,0,1,0
108,Bachelorette,8,08_RYAN_B,ELIMINATION-1,,0,0,0
109,Bachelorette,8,08_TRAVIS_P,ELIMINATION-1,,0,0,0
110,Bachelorette,8,08_ALEJANDRO_V,ELIMINATION-1,,0,0,0
111,Bachelorette,8,08_KALON_M,ELIMINATION-1,,0,0,0
112,Bachelorette,8,08_CHARLIE_G,ELIMINATION-1,,0,0,0
113,Bachelorette,8,08_MICHAEL_N,ELIMINATION-1,,0,0,0
114,Bachelorette,8,08_NATHAN_B,ELIMINATION-1,,0,0,0
115,Bachelorette,8,08_STEVIE_A,ELIMINATION-1,,0,0,0
116,Bachelorette,8,08_ALESSANDRO_G,ELIMINATION-1,,0,0,0
117,Bachelorette,8,08_TONY_P,ELIMINATION-1,,0,0,0
118,Bachelorette,8,08_AARON_M,ELIMINATION-1,,0,0,0
119,Bachelorette,8,08_KYLE_D,ELIMINATION-1,,0,0,0
120,Bachelorette,8,08_JOE_G,ELIMINATION-1,,0,0,0
121,Bachelorette,8,08_BRENT_R,ELIMINATION-1,E,0,0,0
122,Bachelorette,8,08_DAVID_H,ELIMINATION-1,E,0,0,0
123,Bachelorette,8,08_JACKSON_L,ELIMINATION-1,E,0,0,0
124,Bachelorette,8,08_JEANPAUL_L,ELIMINATION-1,E,0,0,0
125,Bachelorette,8,08_LERONE_A,ELIMINATION-1,E,0,0,0
126,Bachelorette,8,08_RANDY_W,ELIMINATION-1,E,0,0,0
127,Bachelorette,6,06_ROBERT_M,ELIMINATION-1,R1,1,1,0
128,Bachelorette,6,06_CHRIS_L,ELIMINATION-1,,0,0,0
129,Bachelorette,6,06_FRANK_N,ELIMINATION-1,,0,0,0
130,Bachelorette,6,06_KIRK_D,ELIMINATION-1,,0,0,0
131,Bachelorette,6,06_TY_B,ELIMINATION-1,,0,0,0
132,Bachelorette,6,06_CRAIG_R,ELIMINATION-1,,0,0,0
133,Bachelorette,6,06_JUSTIN_R,ELIMINATION-1,,0,0,0
134,Bachelorette,6,06_CHRIS_N,ELIMINATION-1,,0,0,0
135,Bachelorette,6,06_KASEY_K,ELIMINATION-1,,0,0,0
136,Bachelorette,6,06_JESSE_B,ELIMINATION-1,,0,0,0
137,Bachelorette,6,06_JONATHAN_N,ELIMINATION-1,,0,0,0
138,Bachelorette,6,06_JOHN_C,ELIMINATION-1,,0,0,0
139,Bachelorette,6,06_STEVE_K,ELIMINATION-1,,0,0,0
140,Bachelorette,6,06_HUNTER_W,ELIMINATION-1,,0,0,0
141,Bachelorette,6,06_CHRIS_H,ELIMINATION-1,,0,0,0
142,Bachelorette,6,06_CRAIG_M,ELIMINATION-1,,0,0,0
143,Bachelorette,6,06_TYLER_V,ELIMINATION-1,,0,0,0
144,Bachelorette,6,06_DEREK_X,ELIMINATION-1,E,0,0,0
145,Bachelorette,6,06_DERRICK_S,ELIMINATION-1,E,0,0,0
146,Bachelorette,6,06_JASON_W,ELIMINATION-1,E,0,0,0
147,Bachelorette,6,06_JAY_R,ELIMINATION-1,E,0,0,0
148,Bachelorette,6,06_JOHN_N,ELIMINATION-1,E,0,0,0
149,Bachelorette,6,06_KYLE_H,ELIMINATION-1,E,0,0,0
150,Bachelorette,6,06_PHIL_K,ELIMINATION-1,E,0,0,0
151,Bachelorette,6,06_TYLER_M,ELIMINATION-1,E,0,0,0
152,Bachelorette,5,05_ED_S,ELIMINATION-1,,1,0,0
153,Bachelorette,5,05_KIPTYN_L,ELIMINATION-1,,0,0,0
154,Bachelorette,5,05_REID_R,ELIMINATION-1,,0,0,0
155,Bachelorette,5,05_WES_H,ELIMINATION-1,,0,0,0
156,Bachelorette,5,05_JESSE_K,ELIMINATION-1,,0,0,0
