,SHOW,SEASON,ETTE_NAME,CONTESTANT,NAME,AGE,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10,FIR-1,FIR-2,FIR-3,FIR-4,FIR-5,FIR-6,FIR-7,FIR-8,FIR-9,FIR-10,ROSE-1,ROSE-2,ROSE-3,ROSE-4,ROSE-5,ROSE-6,ROSE-7,ROSE-8,ROSE-9,ROSE-10,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_CAT,SAME_CITY,SAME_STATE,SAME_REGION,SAME_OCCUPATIONGROUP,TOP_THREE,WINNER
0,Bachelorette,14,Becca Kufrin,14_GARRETT_Y,Garrett Yrigoyen,29,R1,,,R,,,R,,,W,0.0,10.0,10.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.0,0.8571428571428577,0,0,0,0,0,1,1
1,Bachelorette,14,Becca Kufrin,14_BLAKE_H,Blake Horstmann,28,,R,,,R,,R,,,E,0.0,1.0,10.0,13.0,9.0,7.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,-0.14285714285714235,1,0,0,0,0,1,0
2,Bachelorette,14,Becca Kufrin,14_JASON_T,Jason Tartick,29,,,,,,R,R,,ED,,0.0,0.0,6.0,13.0,9.0,1.0,3.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1.0,0.8571428571428577,0,0,0,0,0,1,0
3,Bachelorette,14,Becca Kufrin,14_COLTON_U,Colton Underwood,26,,,R,,R,R,R,E,,,0.0,10.0,6.0,13.0,1.0,7.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2.0,-2.1428571428571423,2,0,0,1,0,0,0
4,Bachelorette,14,Becca Kufrin,14_WILLS_R,Wills Reid,29,,R,,R,,,ED,,,,0.0,10.0,6.0,1.0,9.0,7.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1.0,0.8571428571428577,0,0,0,0,0,0,0
5,Bachelorette,14,Becca Kufrin,14_LEO_D,Leo Dottavio,31,,,,,,R,ED,,,,0.0,10.0,10.0,13.0,9.0,1.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.0,2.8571428571428577,0,0,0,0,1,0,0
6,Bachelorette,14,Becca Kufrin,14_CONNOR_O,Connor Obrochta,25,,,,,,E,,,,,0.0,8.0,10.0,13.0,9.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,-3.1428571428571423,2,0,0,0,0,0,0
7,Bachelorette,14,Becca Kufrin,14_LINCOLN_A,Lincoln Adim,26,,,,,,E,,,,,0.0,8.0,10.0,13.0,9.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,-2.1428571428571423,2,0,0,0,0,0,0
8,Bachelorette,14,Becca Kufrin,14_CHRIS_R,Chris Randone,30,,,R,,,EU,,,,,0.0,8.0,1.0,13.0,9.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.0,1.8571428571428577,0,0,0,0,0,0,0
9,Bachelorette,14,Becca Kufrin,14_JOHN_G,John Graham,28,,,,,E,,,,,,0.0,10.0,10.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.14285714285714235,1,0,0,1,0,0,0
10,Bachelorette,14,Becca Kufrin,14_JORDAN_K,Jordan Kimball,26,,,,,ED,,,,,,0.0,8.0,6.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,-2.1428571428571423,2,0,0,0,1,0,0
11,Bachelorette,14,Becca Kufrin,14_DAVID_R,David Ravitz,25,,,R,,ED,,,,,,0.0,8.0,6.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,-3.1428571428571423,2,0,0,0,0,0,0
12,Bachelorette,14,Becca Kufrin,14_CHRISTON_S,Christon Staples,31,,,,E,,,,,,,0.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,2.8571428571428577,0,0,0,0,0,0,0
13,Bachelorette,14,Becca Kufrin,14_NICK_S,Nick Spetsas,27,,,,E,,,,,,,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.1428571428571423,2,0,0,0,0,0,0
14,Bachelorette,14,Becca Kufrin,14_JEAN_B,Jean Blanc,31,,R,,ED,,,,,,,0.0,8.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.0,2.8571428571428577,0,0,0,0,0,0,0
15,Bachelorette,14,Becca Kufrin,14_MIKE_R,Mike Renner,27,,,E,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.1428571428571423,2,0,0,1,0,0,0
16,Bachelorette,14,Becca Kufrin,14_RYAN_P,Ryan Peterson,26,,,E,,,,,,,,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,-2.1428571428571423,2,0,0,0,0,0,0
17,Bachelorette,14,Becca Kufrin,14_CLAY_H,Clay Harbor,30,,,EQ,,,,,,,,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,1.8571428571428577,0,0,0,1,0,0,0
18,Bachelorette,14,Becca Kufrin,14_ALEX_T,Alex Templeman,31,,E,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,2.8571428571428577,0,0,0,0,0,0,0
19,Bachelorette,14,Becca Kufrin,14_RICKEY_J,Rickey Jasper,27,,E,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.1428571428571423,2,0,0,0,0,0,0
20,Bachelorette,14,Becca Kufrin,14_TRENT_J,Trent Jespersen,28,,E,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.14285714285714235,1,0,0,1,0,0,0
21,Bachelorette,14,Becca Kufrin,14_CHASE_V,Chase Vergason,27,E,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.1428571428571423,2,0,0,0,0,0,0
22,Bachelorette,14,Becca Kufrin,14_CHRISTIAN_E,Christian Estrada,28,E,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.14285714285714235,1,0,0,0,0,0,0
23,Bachelorette,14,Becca Kufrin,14_DARIUS_F,Darius Feaster,26,E,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,-2.1428571428571423,2,0,0,0,0,0,0
24,Bachelorette,14,Becca Kufrin,14_GRANT_V,Grant Vandevanter,27,E,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.1428571428571423,2,0,0,0,0,0,0
