Name,Age,Occupation,OCC_AGREE,Hometown,Season
Trista Rehn,30,Physical therapist,Healthcare,"Indianapolis, Indiana",1
Meredith Phillips,,Makeup artist,Personal Care and Service,,2
"Jennifer ""Jen"" Schefft",,Publicist,Entertainment and Media,,3
DeAnna Pappas,,Real estate agent,Real EstateRealtor,,4
Jillian Harris,29,Interior designer,Art and Design,"Vancouver, British Columbia, Canada",5
Ali Fedotowsky,25,Advertising account manager,Sales,Massachusetts,6
Ashley Hebert,,Dental student,Healthcare,,7
Emily Maynard,,Children's hospital event planner,Other,"Charlotte, North Carolina",8
Desiree Hartsock,27,Bridal stylist,Other,Colorado,9
Andi Dorfman,26,Assistant District Attorney,Legal,"Atlanta, Georgia",10
Kaitlyn Bristowe,29,Dance Instructor,Personal Care and Service,"Vancouver, British Columbia, Canada",11
"Joelle ""JoJo"" Fletcher",25,Real Estate Developer,Real EstateRealtor,"Dallas, Texas",12
Rachel Lindsay,31,Attorney,Legal,"Dallas, Texas",13
Becca Kufrin,28,Publicist,Entertainment and Media,"Prior Lake, Minnesota",14
