,SHOW,SEASON,CONTESTANT,TYPE,VALUE,ELIM_DATE,NUMBER
0,Bachelorette,13,13_BRYAN_A,ELIMINATION-1,R1,ELIMINATION,1
1,Bachelorette,13,13_PETER_K,ELIMINATION-1,,ELIMINATION,1
2,Bachelorette,13,13_ERIC_B,ELIMINATION-1,,ELIMINATION,1
3,Bachelorette,13,13_DEAN_U,ELIMINATION-1,,ELIMINATION,1
4,Bachelorette,13,13_ADAM_G,ELIMINATION-1,,ELIMINATION,1
5,Bachelorette,13,13_MATT_M,ELIMINATION-1,,ELIMINATION,1
6,Bachelorette,13,13_ALEX_B,ELIMINATION-1,,ELIMINATION,1
7,Bachelorette,13,13_WILL_G,ELIMINATION-1,,ELIMINATION,1
8,Bachelorette,13,13_KENNY_L,ELIMINATION-1,,ELIMINATION,1
9,Bachelorette,13,13_ANTHONY_B,ELIMINATION-1,,ELIMINATION,1
10,Bachelorette,13,13_JOSIAH_G,ELIMINATION-1,,ELIMINATION,1
11,Bachelorette,13,13_LEE_G,ELIMINATION-1,,ELIMINATION,1
12,Bachelorette,13,13_IGGY_R,ELIMINATION-1,,ELIMINATION,1
13,Bachelorette,13,13_JONATHAN_T,ELIMINATION-1,,ELIMINATION,1
14,Bachelorette,13,13_JACK_S,ELIMINATION-1,,ELIMINATION,1
15,Bachelorette,13,13_BRADY_E,ELIMINATION-1,,ELIMINATION,1
16,Bachelorette,13,13_BRYCE_P,ELIMINATION-1,,ELIMINATION,1
17,Bachelorette,13,13_DIGGY_M,ELIMINATION-1,,ELIMINATION,1
18,Bachelorette,13,13_FRED_J,ELIMINATION-1,,ELIMINATION,1
19,Bachelorette,13,13_BLAKE_E,ELIMINATION-1,,ELIMINATION,1
20,Bachelorette,13,13_JAMEY_K,ELIMINATION-1,,ELIMINATION,1
21,Bachelorette,13,13_LUCAS_Y,ELIMINATION-1,,ELIMINATION,1
22,Bachelorette,13,13_DEMARIO_J,ELIMINATION-1,,ELIMINATION,1
23,Bachelorette,13,13_BLAKE_K,ELIMINATION-1,E,ELIMINATION,1
24,Bachelorette,13,13_GRANT_H,ELIMINATION-1,E,ELIMINATION,1
25,Bachelorette,13,13_JEDIDIAH_B,ELIMINATION-1,E,ELIMINATION,1
26,Bachelorette,13,13_KYLE_S,ELIMINATION-1,E,ELIMINATION,1
27,Bachelorette,13,13_MICHAEL_B,ELIMINATION-1,E,ELIMINATION,1
28,Bachelorette,13,13_MILTON_L,ELIMINATION-1,E,ELIMINATION,1
29,Bachelorette,13,13_MOHIT_S,ELIMINATION-1,E,ELIMINATION,1
30,Bachelorette,13,13_ROB_H,ELIMINATION-1,E,ELIMINATION,1
31,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
32,Bachelorette,12,12_JORDAN_R,ELIMINATION-1,R1,ELIMINATION,1
33,Bachelorette,12,12_ROBBY_H,ELIMINATION-1,,ELIMINATION,1
34,Bachelorette,12,12_CHASE_M,ELIMINATION-1,,ELIMINATION,1
35,Bachelorette,12,12_LUKE_P,ELIMINATION-1,,ELIMINATION,1
36,Bachelorette,12,12_JAMES_T,ELIMINATION-1,,ELIMINATION,1
37,Bachelorette,12,12_ALEX_W,ELIMINATION-1,,ELIMINATION,1
38,Bachelorette,12,12_DEREK_P,ELIMINATION-1,,ELIMINATION,1
39,Bachelorette,12,12_WELLS_A,ELIMINATION-1,,ELIMINATION,1
40,Bachelorette,12,12_VINCENT_V,ELIMINATION-1,,ELIMINATION,1
41,Bachelorette,12,12_GRANT_K,ELIMINATION-1,,ELIMINATION,1
42,Bachelorette,12,12_EVAN_B,ELIMINATION-1,,ELIMINATION,1
43,Bachelorette,12,12_JAMES_F,ELIMINATION-1,,ELIMINATION,1
44,Bachelorette,12,12_DANIEL_M,ELIMINATION-1,,ELIMINATION,1
45,Bachelorette,12,12_CHAD_J,ELIMINATION-1,,ELIMINATION,1
46,Bachelorette,12,12_NICK_B,ELIMINATION-1,,ELIMINATION,1
47,Bachelorette,12,12_CHRISTIAN_B,ELIMINATION-1,,ELIMINATION,1
48,Bachelorette,12,12_ALI_Z,ELIMINATION-1,,ELIMINATION,1
49,Bachelorette,12,12_WILL_H,ELIMINATION-1,,ELIMINATION,1
50,Bachelorette,12,12_JAMES_S,ELIMINATION-1,,ELIMINATION,1
51,Bachelorette,12,12_BRANDON_H,ELIMINATION-1,,ELIMINATION,1
52,Bachelorette,12,12_SAL_D,ELIMINATION-1,E,ELIMINATION,1
53,Bachelorette,12,12_PETER_M,ELIMINATION-1,E,ELIMINATION,1
54,Bachelorette,12,12_NICK_S,ELIMINATION-1,E,ELIMINATION,1
55,Bachelorette,12,12_JONATHAN_H,ELIMINATION-1,E,ELIMINATION,1
56,Bachelorette,12,12_JAKE_P,ELIMINATION-1,E,ELIMINATION,1
57,Bachelorette,12,12_COLEY_K,ELIMINATION-1,E,ELIMINATION,1
58,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
59,Bachelorette,11,11_SHAWN_B,ELIMINATION-1,R1,ELIMINATION,1
60,Bachelorette,11,11_NICK_V,ELIMINATION-1,,ELIMINATION,1
61,Bachelorette,11,11_BEN_H,ELIMINATION-1,,ELIMINATION,1
62,Bachelorette,11,11_JARED_H,ELIMINATION-1,,ELIMINATION,1
63,Bachelorette,11,11_JOE_B,ELIMINATION-1,,ELIMINATION,1
64,Bachelorette,11,11_CHRIS_S,ELIMINATION-1,,ELIMINATION,1
65,Bachelorette,11,11_BEN_Z,ELIMINATION-1,,ELIMINATION,1
66,Bachelorette,11,11_TANNER_T,ELIMINATION-1,,ELIMINATION,1
67,Bachelorette,11,11_JJ_L,ELIMINATION-1,,ELIMINATION,1
68,Bachelorette,11,11_JOSHUA_A,ELIMINATION-1,,ELIMINATION,1
69,Bachelorette,11,11_JUSTIN_R,ELIMINATION-1,,ELIMINATION,1
70,Bachelorette,11,11_IAN_T,ELIMINATION-1,,ELIMINATION,1
71,Bachelorette,11,11_COREY_S,ELIMINATION-1,,ELIMINATION,1
72,Bachelorette,11,11_JONATHAN_H,ELIMINATION-1,,ELIMINATION,1
73,Bachelorette,11,11_RYAN_B,ELIMINATION-1,,ELIMINATION,1
74,Bachelorette,11,11_CLINT_A,ELIMINATION-1,,ELIMINATION,1
75,Bachelorette,11,11_TONY_H,ELIMINATION-1,,ELIMINATION,1
76,Bachelorette,11,11_CORY_S,ELIMINATION-1,,ELIMINATION,1
77,Bachelorette,11,11_DANIEL_F,ELIMINATION-1,,ELIMINATION,1
78,Bachelorette,11,11_KUPAH_J,ELIMINATION-1,,ELIMINATION,1
79,Bachelorette,11,11_BRADLEY_C,ELIMINATION-1,E,ELIMINATION,1
80,Bachelorette,11,11_DAVID_X,ELIMINATION-1,E,ELIMINATION,1
81,Bachelorette,11,11_JOSH_S,ELIMINATION-1,E,ELIMINATION,1
82,Bachelorette,11,11_SHAWN_E,ELIMINATION-1,E,ELIMINATION,1
83,Bachelorette,11,11_BRADY_T,ELIMINATION-1,EQ,ELIMINATION,1
84,Bachelorette,11,11_RYAN_M,ELIMINATION-1,EF,ELIMINATION,1
85,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
86,Bachelorette,10,10_JOSH_M,ELIMINATION-1,,ELIMINATION,1
87,Bachelorette,10,10_NICK_V,ELIMINATION-1,R1,ELIMINATION,1
88,Bachelorette,10,10_CHRIS_S,ELIMINATION-1,,ELIMINATION,1
89,Bachelorette,10,10_MARCUS_G,ELIMINATION-1,,ELIMINATION,1
90,Bachelorette,10,10_BRIAN_O,ELIMINATION-1,,ELIMINATION,1
91,Bachelorette,10,10_DYLAN_P,ELIMINATION-1,,ELIMINATION,1
92,Bachelorette,10,10_JJ_O,ELIMINATION-1,,ELIMINATION,1
93,Bachelorette,10,10_CODY_S,ELIMINATION-1,,ELIMINATION,1
94,Bachelorette,10,10_ANDREW_P,ELIMINATION-1,,ELIMINATION,1
95,Bachelorette,10,10_MARQUEL_M,ELIMINATION-1,,ELIMINATION,1
96,Bachelorette,10,10_PATRICK_J,ELIMINATION-1,,ELIMINATION,1
97,Bachelorette,10,10_TASOS_H,ELIMINATION-1,,ELIMINATION,1
98,Bachelorette,10,10_ERIC_H,ELIMINATION-1,,ELIMINATION,1
99,Bachelorette,10,10_BRADLEY_W,ELIMINATION-1,,ELIMINATION,1
100,Bachelorette,10,10_BRETT_M,ELIMINATION-1,,ELIMINATION,1
101,Bachelorette,10,10_RON_W,ELIMINATION-1,,ELIMINATION,1
102,Bachelorette,10,10_CARL_K,ELIMINATION-1,,ELIMINATION,1
103,Bachelorette,10,10_CRAIG_M,ELIMINATION-1,,ELIMINATION,1
104,Bachelorette,10,10_NICK_S,ELIMINATION-1,,ELIMINATION,1
105,Bachelorette,10,10_EMIL_S,ELIMINATION-1,E,ELIMINATION,1
106,Bachelorette,10,10_JASON_L,ELIMINATION-1,E,ELIMINATION,1
107,Bachelorette,10,10_JOSH_B,ELIMINATION-1,E,ELIMINATION,1
108,Bachelorette,10,10_MIKE_C,ELIMINATION-1,E,ELIMINATION,1
109,Bachelorette,10,10_RUDIE_D,ELIMINATION-1,E,ELIMINATION,1
110,Bachelorette,10,10_STEVEN_W,ELIMINATION-1,E,ELIMINATION,1
111,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
112,Bachelorette,09,09_CHRIS_S,ELIMINATION-1,,ELIMINATION,1
113,Bachelorette,09,09_DREW_K,ELIMINATION-1,R1,ELIMINATION,1
114,Bachelorette,09,09_BROOKS_F,ELIMINATION-1,,ELIMINATION,1
115,Bachelorette,09,09_ZAK_W,ELIMINATION-1,R1,ELIMINATION,1
116,Bachelorette,09,09_MICHAEL_G,ELIMINATION-1,R1,ELIMINATION,1
117,Bachelorette,09,09_JAMES_C,ELIMINATION-1,,ELIMINATION,1
118,Bachelorette,09,09_JUAN_G,ELIMINATION-1,,ELIMINATION,1
119,Bachelorette,09,09_KASEY_S,ELIMINATION-1,,ELIMINATION,1
120,Bachelorette,09,09_MIKEY_T,ELIMINATION-1,,ELIMINATION,1
121,Bachelorette,09,09_BEN_S,ELIMINATION-1,R1,ELIMINATION,1
122,Bachelorette,09,09_BRYDEN_V,ELIMINATION-1,R1,ELIMINATION,1
123,Bachelorette,09,09_ZACK_K,ELIMINATION-1,,ELIMINATION,1
124,Bachelorette,09,09_BRAD_M,ELIMINATION-1,,ELIMINATION,1
125,Bachelorette,09,09_BRANDON_A,ELIMINATION-1,,ELIMINATION,1
126,Bachelorette,09,09_DAN_C,ELIMINATION-1,,ELIMINATION,1
127,Bachelorette,09,09_BRIAN_J,ELIMINATION-1,,ELIMINATION,1
128,Bachelorette,09,09_NICK_M,ELIMINATION-1,R1,ELIMINATION,1
129,Bachelorette,09,09_ROBERT_G,ELIMINATION-1,,ELIMINATION,1
130,Bachelorette,09,09_WILL_R,ELIMINATION-1,,ELIMINATION,1
131,Bachelorette,09,09_DIOGO_C,ELIMINATION-1,E,ELIMINATION,1
132,Bachelorette,09,09_LARRY_B,ELIMINATION-1,E,ELIMINATION,1
133,Bachelorette,09,09_MICAH_X,ELIMINATION-1,E,ELIMINATION,1
134,Bachelorette,09,09_MIKE_X,ELIMINATION-1,E,ELIMINATION,1
135,Bachelorette,09,09_NICK_R,ELIMINATION-1,E,ELIMINATION,1
136,Bachelorette,09,09_JONATHAN_V,ELIMINATION-1,EU,ELIMINATION,1
137,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
138,Bachelorette,08,08_JEF_H,ELIMINATION-1,,ELIMINATION,1
139,Bachelorette,08,08_ARIE_L,ELIMINATION-1,,ELIMINATION,1
140,Bachelorette,08,08_SEAN_L,ELIMINATION-1,,ELIMINATION,1
141,Bachelorette,08,08_CHRIS_B,ELIMINATION-1,,ELIMINATION,1
142,Bachelorette,08,08_JOHN_W,ELIMINATION-1,,ELIMINATION,1
143,Bachelorette,08,08_DOUG_C,ELIMINATION-1,R1,ELIMINATION,1
144,Bachelorette,08,08_RYAN_B,ELIMINATION-1,,ELIMINATION,1
145,Bachelorette,08,08_TRAVIS_P,ELIMINATION-1,,ELIMINATION,1
146,Bachelorette,08,08_ALEJANDRO_V,ELIMINATION-1,,ELIMINATION,1
147,Bachelorette,08,08_KALON_M,ELIMINATION-1,,ELIMINATION,1
148,Bachelorette,08,08_CHARLIE_G,ELIMINATION-1,,ELIMINATION,1
149,Bachelorette,08,08_MICHAEL_N,ELIMINATION-1,,ELIMINATION,1
150,Bachelorette,08,08_NATHAN_B,ELIMINATION-1,,ELIMINATION,1
151,Bachelorette,08,08_STEVIE_A,ELIMINATION-1,,ELIMINATION,1
152,Bachelorette,08,08_ALESSANDRO_G,ELIMINATION-1,,ELIMINATION,1
153,Bachelorette,08,08_TONY_P,ELIMINATION-1,,ELIMINATION,1
154,Bachelorette,08,08_AARON_M,ELIMINATION-1,,ELIMINATION,1
155,Bachelorette,08,08_KYLE_D,ELIMINATION-1,,ELIMINATION,1
156,Bachelorette,08,08_JOE_G,ELIMINATION-1,,ELIMINATION,1
157,Bachelorette,08,08_BRENT_R,ELIMINATION-1,E,ELIMINATION,1
158,Bachelorette,08,08_DAVID_H,ELIMINATION-1,E,ELIMINATION,1
159,Bachelorette,08,08_JACKSON_L,ELIMINATION-1,E,ELIMINATION,1
160,Bachelorette,08,08_JEANPAUL_L,ELIMINATION-1,E,ELIMINATION,1
161,Bachelorette,08,08_LERONE_A,ELIMINATION-1,E,ELIMINATION,1
162,Bachelorette,08,08_RANDY_W,ELIMINATION-1,E,ELIMINATION,1
163,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
164,Bachelorette,07,07_JP_R,ELIMINATION-1,,ELIMINATION,1
165,Bachelorette,07,07_BEN_F,ELIMINATION-1,,ELIMINATION,1
166,Bachelorette,07,07_CONSTANTINE_T,ELIMINATION-1,,ELIMINATION,1
167,Bachelorette,07,07_AMES_B,ELIMINATION-1,,ELIMINATION,1
168,Bachelorette,07,07_LUCAS_D,ELIMINATION-1,,ELIMINATION,1
169,Bachelorette,07,07_RYAN_P,ELIMINATION-1,R1,ELIMINATION,1
170,Bachelorette,07,07_BLAKE_J,ELIMINATION-1,,ELIMINATION,1
171,Bachelorette,07,07_RYAN_M,ELIMINATION-1,,ELIMINATION,1
172,Bachelorette,07,07_NICK_P,ELIMINATION-1,,ELIMINATION,1
173,Bachelorette,07,07_WILLIAM_H,ELIMINATION-1,,ELIMINATION,1
174,Bachelorette,07,07_BEN_C,ELIMINATION-1,,ELIMINATION,1
175,Bachelorette,07,07_WEST_L,ELIMINATION-1,,ELIMINATION,1
176,Bachelorette,07,07_CHRIS_D,ELIMINATION-1,,ELIMINATION,1
177,Bachelorette,07,07_JEFF_M,ELIMINATION-1,,ELIMINATION,1
178,Bachelorette,07,07_BENTLEY_W,ELIMINATION-1,,ELIMINATION,1
179,Bachelorette,07,07_MATT_C,ELIMINATION-1,,ELIMINATION,1
180,Bachelorette,07,07_RYAN_M,ELIMINATION-1,,ELIMINATION,1
181,Bachelorette,07,07_STEPHEN_D,ELIMINATION-1,,ELIMINATION,1
182,Bachelorette,07,07_ANTHONY_S,ELIMINATION-1,E,ELIMINATION,1
183,Bachelorette,07,07_CHRIS_M,ELIMINATION-1,E,ELIMINATION,1
184,Bachelorette,07,07_FRANK_C,ELIMINATION-1,E,ELIMINATION,1
185,Bachelorette,07,07_JON_E,ELIMINATION-1,E,ELIMINATION,1
186,Bachelorette,07,07_MICHAEL_B,ELIMINATION-1,E,ELIMINATION,1
187,Bachelorette,07,07_ROB_D,ELIMINATION-1,E,ELIMINATION,1
188,Bachelorette,07,07_TIM_M,ELIMINATION-1,EU,ELIMINATION,1
189,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
190,Bachelorette,06,06_ROBERT_M,ELIMINATION-1,R1,ELIMINATION,1
191,Bachelorette,06,06_CHRIS_L,ELIMINATION-1,,ELIMINATION,1
192,Bachelorette,06,06_FRANK_N,ELIMINATION-1,,ELIMINATION,1
193,Bachelorette,06,06_KIRK_D,ELIMINATION-1,,ELIMINATION,1
194,Bachelorette,06,06_TY_B,ELIMINATION-1,,ELIMINATION,1
195,Bachelorette,06,06_CRAIG_R,ELIMINATION-1,,ELIMINATION,1
196,Bachelorette,06,06_JUSTIN_R,ELIMINATION-1,,ELIMINATION,1
197,Bachelorette,06,06_CHRIS_N,ELIMINATION-1,,ELIMINATION,1
198,Bachelorette,06,06_KASEY_K,ELIMINATION-1,,ELIMINATION,1
199,Bachelorette,06,06_JESSE_B,ELIMINATION-1,,ELIMINATION,1
200,Bachelorette,06,06_JONATHAN_N,ELIMINATION-1,,ELIMINATION,1
201,Bachelorette,06,06_JOHN_C,ELIMINATION-1,,ELIMINATION,1
202,Bachelorette,06,06_STEVE_K,ELIMINATION-1,,ELIMINATION,1
203,Bachelorette,06,06_HUNTER_W,ELIMINATION-1,,ELIMINATION,1
204,Bachelorette,06,06_CHRIS_H,ELIMINATION-1,,ELIMINATION,1
205,Bachelorette,06,06_CRAIG_M,ELIMINATION-1,,ELIMINATION,1
206,Bachelorette,06,06_TYLER_V,ELIMINATION-1,,ELIMINATION,1
207,Bachelorette,06,06_DEREK_X,ELIMINATION-1,E,ELIMINATION,1
208,Bachelorette,06,06_DERRICK_S,ELIMINATION-1,E,ELIMINATION,1
209,Bachelorette,06,06_JASON_W,ELIMINATION-1,E,ELIMINATION,1
210,Bachelorette,06,06_JAY_R,ELIMINATION-1,E,ELIMINATION,1
211,Bachelorette,06,06_JOHN_N,ELIMINATION-1,E,ELIMINATION,1
212,Bachelorette,06,06_KYLE_H,ELIMINATION-1,E,ELIMINATION,1
213,Bachelorette,06,06_PHIL_K,ELIMINATION-1,E,ELIMINATION,1
214,Bachelorette,06,06_TYLER_M,ELIMINATION-1,E,ELIMINATION,1
215,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
216,Bachelorette,05,05_ED_S,ELIMINATION-1,,ELIMINATION,1
217,Bachelorette,05,05_KIPTYN_L,ELIMINATION-1,,ELIMINATION,1
218,Bachelorette,05,05_REID_R,ELIMINATION-1,,ELIMINATION,1
219,Bachelorette,05,05_WES_H,ELIMINATION-1,,ELIMINATION,1
220,Bachelorette,05,05_JESSE_K,ELIMINATION-1,,ELIMINATION,1
221,Bachelorette,05,05_MICHAEL_S,ELIMINATION-1,,ELIMINATION,1
222,Bachelorette,05,05_JAKE_P,ELIMINATION-1,,ELIMINATION,1
223,Bachelorette,05,05_TANNER_P,ELIMINATION-1,,ELIMINATION,1
224,Bachelorette,05,05_ROBBY_D,ELIMINATION-1,,ELIMINATION,1
225,Bachelorette,05,05_MARK_H,ELIMINATION-1,,ELIMINATION,1
226,Bachelorette,05,05_DAVID_G,ELIMINATION-1,R1,ELIMINATION,1
227,Bachelorette,05,05_JUAN_B,ELIMINATION-1,,ELIMINATION,1
228,Bachelorette,05,05_MIKE_S,ELIMINATION-1,,ELIMINATION,1
229,Bachelorette,05,05_BRAD_S,ELIMINATION-1,,ELIMINATION,1
230,Bachelorette,05,05_TANNER_F,ELIMINATION-1,,ELIMINATION,1
231,Bachelorette,05,05_SASHA_P,ELIMINATION-1,,ELIMINATION,1
232,Bachelorette,05,05_BRIAN_D,ELIMINATION-1,,ELIMINATION,1
233,Bachelorette,05,05_JULIEN_H,ELIMINATION-1,,ELIMINATION,1
234,Bachelorette,05,05_MATHUE_J,ELIMINATION-1,,ELIMINATION,1
235,Bachelorette,05,05_SIMON_A,ELIMINATION-1,,ELIMINATION,1
236,Bachelorette,05,05_ADAM_D,ELIMINATION-1,E,ELIMINATION,1
237,Bachelorette,05,05_BRIAN_V,ELIMINATION-1,E,ELIMINATION,1
238,Bachelorette,05,05_BRYCE_H,ELIMINATION-1,E,ELIMINATION,1
239,Bachelorette,05,05_CALEB_K,ELIMINATION-1,E,ELIMINATION,1
240,Bachelorette,05,05_GREG_B,ELIMINATION-1,E,ELIMINATION,1
241,Bachelorette,05,05_JOHN_H,ELIMINATION-1,E,ELIMINATION,1
242,Bachelorette,05,05_JOHN_P,ELIMINATION-1,E,ELIMINATION,1
243,Bachelorette,05,05_JOSH_Y,ELIMINATION-1,E,ELIMINATION,1
244,Bachelorette,05,05_KYLE_Y,ELIMINATION-1,E,ELIMINATION,1
245,Bachelorette,05,05_STEPHEN_R,ELIMINATION-1,E,ELIMINATION,1
246,Bachelorette,SEASON,ID,ELIMINATION-1,1,ELIMINATION,1
247,Bachelorette,04,04_JESSE_C,ELIMINATION-1,R1,ELIMINATION,1
248,Bachelorette,04,04_JASON_M,ELIMINATION-1,,ELIMINATION,1
249,Bachelorette,04,04_JEREMY_A,ELIMINATION-1,R1,ELIMINATION,1
250,Bachelorette,04,04_GRAHAM_B,ELIMINATION-1,,ELIMINATION,1
251,Bachelorette,04,04_SEAN_R,ELIMINATION-1,,ELIMINATION,1
252,Bachelorette,04,04_BLAINE_T,ELIMINATION-1,,ELIMINATION,1
253,Bachelorette,04,04_BRIAN_T,ELIMINATION-1,,ELIMINATION,1
254,Bachelorette,04,04_FREDERICK_G,ELIMINATION-1,,ELIMINATION,1
255,Bachelorette,04,04_ROBERT_F,ELIMINATION-1,,ELIMINATION,1
256,Bachelorette,04,04_PAUL_B,ELIMINATION-1,,ELIMINATION,1
257,Bachelorette,04,04_RONALD_M,ELIMINATION-1,,ELIMINATION,1
258,Bachelorette,04,04_RICHARD_M,ELIMINATION-1,R1,ELIMINATION,1
259,Bachelorette,04,04_CHRISTOPHER_B,ELIMINATION-1,,ELIMINATION,1
260,Bachelorette,04,04_ERIC_P,ELIMINATION-1,,ELIMINATION,1
