,SEASON,TYPE,VALUE,CONTESTANT_y,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
0,21,ELIMINATION-1,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
1,21,ELIMINATION-2,R,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
2,21,ELIMINATION-3,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
3,21,ELIMINATION-4,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
4,21,ELIMINATION-5,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
5,21,ELIMINATION-6,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
6,21,ELIMINATION-7,ED,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
7,21,ELIMINATION-8,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
8,21,ELIMINATION-9,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
9,21,ELIMINATION-10,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
10,21,DATES-1,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
11,21,DATES-2,D1,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
12,21,DATES-3,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
13,21,DATES-4,D13,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
14,21,DATES-5,D10,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
15,21,DATES-6,D6,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
16,21,DATES-7,D1,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
17,21,DATES-8,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
18,21,DATES-9,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
19,21,DATES-10,,Danielle M.,Neonatal Nurse,70.0,4.0,2,Nashville,0,1,TN,S,0,5.0,3.0,8.0,2,7.0,0
20,21,ELIMINATION-1,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
21,21,ELIMINATION-2,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
22,21,ELIMINATION-3,R,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
23,21,ELIMINATION-4,R,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
24,21,ELIMINATION-5,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
25,21,ELIMINATION-6,ED,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
26,21,ELIMINATION-7,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
27,21,ELIMINATION-8,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
28,21,ELIMINATION-9,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
29,21,ELIMINATION-10,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
