,BACHELOR,BACHELOR_AGE,BACHELOR_HEIGHT,SEASON,BACHELOR_HOMETOWN_CITY,BACHELOR_HOMETOWN_STATE,CONTESTANT,CONTESTANT_AGE,CONTESTANT_JOB,CONTESTANT_HEIGHT,CONTESTANT_ELIMWEEK,CONTESTANT_HOMETOWN_CITY,CONTESTANT_HOMETOWN_STATE
0,Alex Michel,32,,1,Charlottesville,VA,Amanda Marsh,23.0,Event Planner,,,Chanute,KS
1,Alex Michel,32,,1,Charlottesville,VA,Trista Rehn,29.0,Miami Heat Dancer,,6.0,Miami,FL
2,Alex Michel,32,,1,Charlottesville,VA,Shannon Oliver,24.0,Financial Management Consultant,,5.0,Dallas,TX
3,Alex Michel,32,,1,Charlottesville,VA,Kim,24.0,Nanny,,4.0,Tempe,AZ
4,Alex Michel,32,,1,Charlottesville,VA,Cathy Grimes,22.0,Graduate Student,,3.0,Terra Haute,IN
5,Alex Michel,32,,1,Charlottesville,VA,Christina,28.0,Attorney,,3.0,Bonita,CA
6,Alex Michel,32,,1,Charlottesville,VA,LaNease Adams,23.0,Actress,,3.0,Los Angeles,CA
7,Alex Michel,32,,1,Charlottesville,VA,Rhonda,28.0,Commercial Real Estate Agent,,3.0,Woodward,OK
8,Alex Michel,32,,1,Charlottesville,VA,Alexa,27.0,Special Ed. Teacher,,2.0,Beverly Hills,CA
9,Alex Michel,32,,1,Charlottesville,VA,Amy,28.0,Production Coordinator,,2.0,New York,NY
10,Alex Michel,32,,1,Charlottesville,VA,Angela,25.0,Hooters Waitress,,2.0,Avondale,AZ
11,Alex Michel,32,,1,Charlottesville,VA,Angelique,27.0,Actress,,2.0,Burbank,CA
12,Alex Michel,32,,1,Charlottesville,VA,Katie,23.0,Power Tool Sales Rep.,,2.0,Malden,MA
13,Alex Michel,32,,1,Charlottesville,VA,Melissa,25.0,Photographer,,2.0,Tempe,AZ
14,Alex Michel,32,,1,Charlottesville,VA,Tina,27.0,Graduate Student,,2.0,Plano,TX
15,Alex Michel,32,,1,Charlottesville,VA,Amber,29.0,Business Development Director,,1.0,Los Angeles,CA
16,Alex Michel,32,,1,Charlottesville,VA,Daniela,30.0,Neuropsychologist,,1.0,Seattle,WA
17,Alex Michel,32,,1,Charlottesville,VA,Denise,30.0,Doctor,,1.0,Honolulu,HI
18,Alex Michel,32,,1,Charlottesville,VA,Jackie,22.0,Bar Manager,,1.0,Pittsburgh,PA
19,Alex Michel,32,,1,Charlottesville,VA,Jill,31.0,Retail Manager,,1.0,Chicago,IL
20,Alex Michel,32,,1,Charlottesville,VA,Kristina,27.0,Advertising Executive,,1.0,Los Angeles,CA
21,Alex Michel,32,,1,Charlottesville,VA,Lisa,29.0,Attorney,,1.0,Dallas,TX
22,Alex Michel,32,,1,Charlottesville,VA,Paula,24.0,Insurance Representative,,1.0,Swansea,MA
23,Alex Michel,32,,1,Charlottesville,VA,Rachel,29.0,6th Grade Teacher,,1.0,Eastchester,NY
24,Alex Michel,32,,1,Charlottesville,VA,Wendi,26.0,Technology Specialist,,1.0,Dallas,TX
25,Aaron Buerge,28,,2,Butler,MO,Helene Eksterowicz,27.0,School Psychologist,,,Gloucester,NJ
