,BACHELORETTE,BACHELORETTE_AGE,BACHELORETTE_JOB,SEASON,BACHELORETTE_HOMETOWN_CITY,BACHELORETTE_HOMETOWN_STATE,CONTESTANT,CONTESTANT_AGE,CONTESTANT_JOB,CONTESTANT_ELIMWEEK,CONTESTANT_HOMETOWN_CITY,CONTESTANT_HOMETOWN_STATE
0,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Ryan Sutter,29,Firefighter,,Vail,CO
1,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Charlie Maher,28,Financial Analyst,6.0,Hermosa Beach,CA
2,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Russ,30,Writer,5.0,San Rafael,CA
3,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Greg T.,28,Importer,4.0,Manhattan,NY
4,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Bob Guiney,31,Mortgage Broker,3.0,Ferndale,MI
5,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Jamie Blyth,27,Professional Basketball Player,3.0,Chicago,IL
6,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Mike,24,Sales and Consulting,3.0,Cincinnati,OH
7,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Rob,29,Computer Programmer,3.0,Dallas,TX
8,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Brian C.,28,Mortgage Broker,2.0,Dallas,TX
9,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Brian S.,28,Sales Engineer,2.0,Dallas,TX
10,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Brook,29,Rodeo Cowboy,2.0,Dallas,TX
11,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Jack,27,Firefighter,2.0,Pepper Pike,OH
12,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Jeff,25,Professional Football Player,2.0,San Diego,CA
13,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Josh,31,Radio Advertising Executive,2.0,Boca Raton,FL
14,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Brian H.,30,National Sales Manager,2.0,Cleveland,OH
15,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Billy,28,Firefighter,1.0,Hermosa Beach,CA
16,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Brian K.,31,Breast Implant Sales,1.0,San Francisco,CA
17,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Chris,35,V.P. of Auto Parts Company,1.0,Sugarloaf,PA
18,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Duane,28,Flight Instructor,1.0,Chisago City,MN
19,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Eric,33,Commercial Pilot,1.0,St. Louis,MO
20,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Gregg H.,34,Marble Company Owner,1.0,Freehold,NJ
21,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Matt,42,Gym Owner,1.0,Marina Del Rey,CA
22,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Paul,26,Telecommunications,1.0,Honolulu,HI
23,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Peter,25,Construction Business Owner,1.0,Long Island,NY
24,Trista Rehn,30.0,Physical therapist,1,Indianapolis,IN,Wayne,37,Commercial Pilot,1.0,Sacramento,CA
25,Meredith Phillips,,Makeup artist,2,,,Ian McKee,29,Equity Research Sales,,New York,NY
26,Meredith Phillips,,Makeup artist,2,,,Matthew Hickl,28,Pharmaceutical Sales Rep,8.0,Friendswood,TX
27,Meredith Phillips,,Makeup artist,2,,,Chad,31,Pharmaceutical Sales Rep,6.0,Buffalo,NY
28,Meredith Phillips,,Makeup artist,2,,,Lanny,26,Stallion and Breeding Manager,5.0,Aubrey,TX
29,Meredith Phillips,,Makeup artist,2,,,Brad,29,Pharmaceutical Sales Rep,4.0,Grand Rapids,MI
30,Meredith Phillips,,Makeup artist,2,,,Ryan M.,30,Financial Advisor,4.0,Santa Barbara,CA
31,Meredith Phillips,,Makeup artist,2,,,Sean,31,CPA,4.0,Wall,NJ
32,Meredith Phillips,,Makeup artist,2,,,Rick,29,Business Manager,3.0,San Diego,CA
33,Meredith Phillips,,Makeup artist,2,,,Ryan R.,29,Sales/Marketing,3.0,Wynola,CA
34,Meredith Phillips,,Makeup artist,2,,,Todd,36,Options Trader,3.0,San Francisco,CA
35,Meredith Phillips,,Makeup artist,2,,,Damon,28,Arena Football Player,2.0,Cardiff,CA
36,Meredith Phillips,,Makeup artist,2,,,Eliot,25,Options Trader,2.0,Mountain View,CA
37,Meredith Phillips,,Makeup artist,2,,,Harold Hersh,29,Professional Hockey Player,2.0,Rock Island,IL
38,Meredith Phillips,,Makeup artist,2,,,Marcus,26,Personal Trainer,2.0,Los Angeles,CA
39,Meredith Phillips,,Makeup artist,2,,,Robert,32,Alliance Development,2.0,El Segundo,CA
40,Meredith Phillips,,Makeup artist,2,,,Aaron,32,Title and Escrow Sales,1.0,Sacramento,CA
41,Meredith Phillips,,Makeup artist,2,,,Andy Chang,33,Dentist,1.0,Dallas,TX
42,Meredith Phillips,,Makeup artist,2,,,Anselm Clinard,32,Art Designer,1.0,Venice,CA
43,Meredith Phillips,,Makeup artist,2,,,Brian,31,Attorney,1.0,Quincy,MA
44,Meredith Phillips,,Makeup artist,2,,,Chris,31,Accountant,1.0,Boston,MA
45,Meredith Phillips,,Makeup artist,2,,,Cory Higgins,24,Small Business Owner,1.0,Long Beach Island,NJ
46,Meredith Phillips,,Makeup artist,2,,,Jeff O'Quinn,30,Pharmaceutical Sales Rep,1.0,Macon,GA
47,Meredith Phillips,,Makeup artist,2,,,Justin,25,Professional Baseball Player,1.0,Orlando,FL
48,Meredith Phillips,,Makeup artist,2,,,Keith,31,Financial Analyst,1.0,Baltimore,MD
49,Meredith Phillips,,Makeup artist,2,,,Trever,35,Restaurateur,1.0,North Wales,PA
50,DeAnna Pappas,,Real estate agent,4,,,Jesse Csincsak,26,Professional snowboarder,,Breckenridge,CO
51,DeAnna Pappas,,Real estate agent,4,,,Jason Mesnick,31,Account executive,8.0,Cleveland,OH
52,DeAnna Pappas,,Real estate agent,4,,,Jeremy Anderson,30,Real estate attorney,7.0,Dallas,TX
53,DeAnna Pappas,,Real estate agent,4,,,Graham Bunn,29,Professional basketball player,6.0,Raleigh,NC
54,DeAnna Pappas,,Real estate agent,4,,,Sean Ramey,33,Martial artist,5.0,Louisville,KY
55,DeAnna Pappas,,Real estate agent,4,,,Blaine Twilley,33,Debt manager,5.0,Tulsa,OK
56,DeAnna Pappas,,Real estate agent,4,,,Brian Westendorf,31,High school football coach,4.0,Balch Springs,TX
57,DeAnna Pappas,,Real estate agent,4,,,"Frederick ""Fred"" Greif",30,Lawyer,4.0,Skokie,IL
58,DeAnna Pappas,,Real estate agent,4,,,Robert Fair,28,Chef,4.0,San Francisco,CA
59,DeAnna Pappas,,Real estate agent,4,,,Paul Brosseau,23,Sales manager,3.0,Bonnyville,Alberta
60,DeAnna Pappas,,Real estate agent,4,,,Ronald Mayer,36,Barber shop owner,3.0,Greeley,CO
61,DeAnna Pappas,,Real estate agent,4,,,Richard Mathy,27,Science teacher,3.0,Sauquoit,NY
62,DeAnna Pappas,,Real estate agent,4,,,"Christopher ""Chris"" Bradshaw",29,Medical sales rep.,2.0,Fort Worth,TX
63,DeAnna Pappas,,Real estate agent,4,,,Eric Papachristos,32,Senior analyst,2.0,Boston,MA
64,DeAnna Pappas,,Real estate agent,4,,,Ryan Hoag,28,Professional football player,2.0,Minneapolis,MN
65,DeAnna Pappas,,Real estate agent,4,,,Brian Winchester,29,Computer network consultant,1.0,New Castle,IN
66,DeAnna Pappas,,Real estate agent,4,,,Chandler Fulton,25,Insurance rep.,1.0,Virginia Beach,VA
67,DeAnna Pappas,,Real estate agent,4,,,Donato Capodanno,26,Sales rep.,1.0,Lexington,SC
68,DeAnna Pappas,,Real estate agent,4,,,"Gregory ""Greg"" Matthew",28,Personal trainer,1.0,Rockport,MA
69,DeAnna Pappas,,Real estate agent,4,,,Jeffrey Harris,27,Mathematics teacher,1.0,Miami,FL
70,DeAnna Pappas,,Real estate agent,4,,,"Jonathan ""Jon"" Konkel",35,Resort manager,1.0,Williston,ND
71,DeAnna Pappas,,Real estate agent,4,,,Luke Hamilton,27,Oyster farmer,1.0,Faith,NC
72,DeAnna Pappas,,Real estate agent,4,,,Patrick Carlson,26,Financial analyst,1.0,Glenwood,IL
