1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
33.0,392.0,231,656,4,34,22.0,84.0,54.0,160,0,3,,,,,,,22.0,131.0,71.0,224,2,0,19.0,97.0,75.0,191,0,4,5.0,24.0,35.0,64,0,2,20.0,65.0,82.0,167,0,6,1.0,0.0,1.0,2,0,0,54.0,216.0,213.0,483,0,7,104.0,533.0,226.0,863,0,10,21.0,21.0,16.0,58,0,15,,,,,,14,Colton
2.0,6.0,3,11,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,47,0,0,,,,0,0,0,,,,,,14,Grant
19.0,35.0,45,99,0,0,3.0,6.0,1.0,10,0,0,,,,,,,6.0,13.0,28.0,47,0,2,69.0,127.0,103.0,299,0,4,2.0,3.0,2.0,7,0,0,,,,0,0,0,,,1.0,1,0,0,,,,5,0,0,3.0,1.0,1.0,5,0,0,0.0,2.0,1.0,3,0,0,,,,,,14,Clay
6.0,10.0,12,28,0,3,5.0,17.0,7.0,29,0,0,,,,,,,0.0,7.0,4.0,11,0,1,1.0,4.0,3.0,8,0,1,17.0,82.0,36.0,135,0,2,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Jean Blanc
3.0,9.0,15,27,0,0,0.0,23.0,7.0,30,0,0,,,,,,,25.0,62.0,30.0,117,1,11,2.0,2.0,0.0,4,0,0,0.0,7.0,3.0,10,0,0,0.0,3.0,7.0,10,0,1,0.0,1.0,2.0,3,0,0,0.0,1.0,3.0,4,0,0,,,,1,0,0,,,,1,0,0,,,,,,14,Connor
24.0,423.0,152,599,0,13,14.0,126.0,104.0,244,0,4,,,,,,,9.0,109.0,8.0,126,0,1,4.0,11.0,10.0,25,0,0,0.0,5.0,26.0,31,0,0,6.0,15.0,3.0,24,0,0,0.0,3.0,2.0,5,0,0,4.0,5.0,2.0,11,0,0,0.0,6.0,1.0,7,0,0,2.0,12.0,3.0,17,0,1,,,,,,14,Joe
6.0,30.0,11,47,0,2,3.0,7.0,13.0,23,0,0,,,,,,,4.0,12.0,8.0,24,0,0,0.0,5.0,2.0,7,0,0,0.0,49.0,55.0,104,1,1,16.0,58.0,68.0,142,13,0,,,,1,0,0,1.0,6.0,2.0,9,0,0,,,3.0,3,0,0,1.0,1.0,3.0,5,0,0,,,,,,14,John
7.0,29.0,23,59,0,0,7.0,4.0,19.0,30,0,0,,,,,,,5.0,44.0,16.0,65,1,1,1.0,8.0,5.0,14,0,0,7.0,19.0,23.0,49,0,0,3.0,11.0,22.0,36,0,0,1.0,4.0,5.0,10,0,1,15.0,91.0,63.0,169,1,0,1.0,1.0,3.0,5,0,0,,,,0,0,0,,,,,,14,Leo
119.0,219.0,163,501,0,3,49.0,171.0,114.0,334,0,6,,,,,,,102.0,375.0,196.0,673,1,10,74.0,300.0,128.0,502,0,4,50.0,167.0,204.0,421,0,12,147.0,282.0,241.0,670,0,4,,,,0,0,0,0.0,2.0,1.0,3,0,0,0.0,3.0,5.0,8,0,1,15.0,11.0,3.0,29,1,14,,,,,,14,Jordan
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Rickey
1.0,34.0,9,44,0,1,0.0,2.0,1.0,3,0,0,,,,,,,15.0,14.0,17.0,46,0,0,0.0,4.0,4.0,8,0,1,,,,2,0,0,0.0,2.0,3.0,5,0,0,,,,0,0,0,1.0,3.0,1.0,5,0,0,1.0,1.0,0.0,2,0,0,,,,1,0,0,,,,,,14,Alex
8.0,7.0,8,23,0,0,1.0,15.0,4.0,20,0,0,,,,,,,1.0,6.0,3.0,10,0,0,3.0,9.0,1.0,13,0,0,4.0,20.0,21.0,45,0,10,6.0,1.0,1.0,8,0,0,,,,1,0,0,1.0,18.0,6.0,25,0,0,3.0,1.0,0.0,4,0,0,0.0,1.0,1.0,2,0,0,,,,,,14,Nick
1.0,13.0,9,23,0,0,,,,0,0,0,,,,,,,0.0,7.0,3.0,10,0,0,1.0,9.0,27.0,37,0,0,5.0,19.0,2.0,26,0,0,0.0,2.0,1.0,3,0,1,,,,0,0,0,,,,2,0,0,,,,1,0,0,1.0,1.0,0.0,2,0,0,,,,,,14,Mike
28.0,99.0,187,314,1,25,3.0,20.0,76.0,99,3,2,,,,,,,1.0,16.0,9.0,26,0,0,6.0,11.0,8.0,25,1,0,15.0,85.0,68.0,168,2,5,4.0,10.0,16.0,30,0,0,4.0,3.0,4.0,11,0,0,33.0,65.0,49.0,147,1,3,56.0,93.0,109.0,258,2,21,65.0,301.0,229.0,595,9,17,,,,,,14,Garrett
7.0,41.0,51,99,0,7,2.0,30.0,63.0,95,4,2,,,,,,,12.0,70.0,104.0,186,1,17,16.0,25.0,37.0,78,0,5,2.0,55.0,40.0,97,0,2,3.0,37.0,74.0,114,0,0,3.0,5.0,5.0,13,0,1,50.0,281.0,176.0,507,4,9,44.0,207.0,124.0,375,15,9,61.0,347.0,240.0,648,11,27,,,,,,14,Blake
4.0,37.0,39,80,1,6,4.0,8.0,7.0,19,0,0,,,,,,,77.0,108.0,79.0,264,0,14,0.0,19.0,16.0,35,1,0,79.0,32.0,32.0,143,0,0,7.0,13.0,20.0,40,0,0,0.0,7.0,2.0,9,0,0,2.0,4.0,1.0,7,0,1,,,,0,0,0,3.0,2.0,6.0,11,0,0,,,,,,14,Lincoln
31.0,30.0,18,79,0,1,,,,0,0,0,,,,,,,,,1.0,1,0,0,,,1.0,1,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,,,14,Chase
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Darius
4.0,12.0,8,24,0,0,0.0,1.0,2.0,3,0,0,,,,,,,1.0,1.0,1.0,3,0,0,1.0,6.0,5.0,12,0,0,0.0,5.0,13.0,18,0,0,,,1.0,1,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,2,0,0,,,,,,14,Ryan
3.0,9.0,7,19,0,1,,,,0,0,0,,,,,,,0.0,1.0,1.0,2,0,0,,,,1,0,0,0.0,9.0,11.0,20,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Christon
