1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
33,392,231,656,4,34,22,84,54,160,0,3,,,,,,,22,131,71,224,2,0,19,97,75,191,0,4,5,24,35,64,0,2,20,65,82,167,0,6,1,0,1,2,0,0,54,216,213,483,0,7,104,533,226,863,0,10,21,21,16,58,0,15,,,,,,14,Colton
2,6,3,11,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,47,0,0,,,,0,0,0,,,,,,14,Grant
19,35,45,99,0,0,3,6,1,10,0,0,,,,,,,6,13,28,47,0,2,69,127,103,299,0,4,2,3,2,7,0,0,,,,0,0,0,,,1,1,0,0,,,,5,0,0,3,1,1,5,0,0,0,2,1,3,0,0,,,,,,14,Clay
6,10,12,28,0,3,5,17,7,29,0,0,,,,,,,0,7,4,11,0,1,1,4,3,8,0,1,17,82,36,135,0,2,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Jean Blanc
3,9,15,27,0,0,0,23,7,30,0,0,,,,,,,25,62,30,117,1,11,2,2,0,4,0,0,0,7,3,10,0,0,0,3,7,10,0,1,0,1,2,3,0,0,0,1,3,4,0,0,,,,1,0,0,,,,1,0,0,,,,,,14,Connor
24,423,152,599,0,13,14,126,104,244,0,4,,,,,,,9,109,8,126,0,1,4,11,10,25,0,0,0,5,26,31,0,0,6,15,3,24,0,0,0,3,2,5,0,0,4,5,2,11,0,0,0,6,1,7,0,0,2,12,3,17,0,1,,,,,,14,Joe
6,30,11,47,0,2,3,7,13,23,0,0,,,,,,,4,12,8,24,0,0,0,5,2,7,0,0,0,49,55,104,1,1,16,58,68,142,13,0,,,,1,0,0,1,6,2,9,0,0,,,3,3,0,0,1,1,3,5,0,0,,,,,,14,John
7,29,23,59,0,0,7,4,19,30,0,0,,,,,,,5,44,16,65,1,1,1,8,5,14,0,0,7,19,23,49,0,0,3,11,22,36,0,0,1,4,5,10,0,1,15,91,63,169,1,0,1,1,3,5,0,0,,,,0,0,0,,,,,,14,Leo
119,219,163,501,0,3,49,171,114,334,0,6,,,,,,,102,375,196,673,1,10,74,300,128,502,0,4,50,167,204,421,0,12,147,282,241,670,0,4,,,,0,0,0,0,2,1,3,0,0,0,3,5,8,0,1,15,11,3,29,1,14,,,,,,14,Jordan
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Rickey
1,34,9,44,0,1,0,2,1,3,0,0,,,,,,,15,14,17,46,0,0,0,4,4,8,0,1,,,,2,0,0,0,2,3,5,0,0,,,,0,0,0,1,3,1,5,0,0,1,1,0,2,0,0,,,,1,0,0,,,,,,14,Alex
8,7,8,23,0,0,1,15,4,20,0,0,,,,,,,1,6,3,10,0,0,3,9,1,13,0,0,4,20,21,45,0,10,6,1,1,8,0,0,,,,1,0,0,1,18,6,25,0,0,3,1,0,4,0,0,0,1,1,2,0,0,,,,,,14,Nick
1,13,9,23,0,0,,,,0,0,0,,,,,,,0,7,3,10,0,0,1,9,27,37,0,0,5,19,2,26,0,0,0,2,1,3,0,1,,,,0,0,0,,,,2,0,0,,,,1,0,0,1,1,0,2,0,0,,,,,,14,Mike
28,99,187,314,1,25,3,20,76,99,3,2,,,,,,,1,16,9,26,0,0,6,11,8,25,1,0,15,85,68,168,2,5,4,10,16,30,0,0,4,3,4,11,0,0,33,65,49,147,1,3,56,93,109,258,2,21,65,301,229,595,9,17,,,,,,14,Garrett
7,41,51,99,0,7,2,30,63,95,4,2,,,,,,,12,70,104,186,1,17,16,25,37,78,0,5,2,55,40,97,0,2,3,37,74,114,0,0,3,5,5,13,0,1,50,281,176,507,4,9,44,207,124,375,15,9,61,347,240,648,11,27,,,,,,14,Blake
4,37,39,80,1,6,4,8,7,19,0,0,,,,,,,77,108,79,264,0,14,0,19,16,35,1,0,79,32,32,143,0,0,7,13,20,40,0,0,0,7,2,9,0,0,2,4,1,7,0,1,,,,0,0,0,3,2,6,11,0,0,,,,,,14,Lincoln
31,30,18,79,0,1,,,,0,0,0,,,,,,,,,1,1,0,0,,,1,1,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,,,14,Chase
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Darius
4,12,8,24,0,0,0,1,2,3,0,0,,,,,,,1,1,1,3,0,0,1,6,5,12,0,0,0,5,13,18,0,0,,,1,1,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,,2,0,0,,,,,,14,Ryan
3,9,7,19,0,1,,,,0,0,0,,,,,,,0,1,1,2,0,0,,,,1,0,0,0,9,11,20,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Christon
0,3,4,7,0,0,9,169,65,243,0,2,,,,,,,0,3,12,15,0,0,2,43,15,60,0,2,8,67,98,173,0,6,20,233,242,495,3,61,2,12,2,16,0,1,39,176,182,397,1,0,2,1,5,8,0,0,1,1,6,8,0,0,,,,,,14,Wills
3,4,9,16,0,0,18,149,135,302,0,10,,,,,,,2,3,3,8,0,0,21,55,48,124,0,1,7,19,11,37,0,2,2,10,7,19,0,1,1,6,6,13,0,0,22,87,96,205,2,16,47,150,212,409,3,47,111,590,333,1034,3,24,,,,,,14,Jason
13,45,20,78,0,0,2,3,2,7,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Kamil
